TH  Field size,0,10,20,30,40,50,60
20,0.666272569,0.678478282,0.70360064,0.727307358,0.746873747,0.759849539,0.759778848
30,0.672965138,0.684088541,0.707777654,0.730683262,0.749663455,0.762174479,0.761793779
40,0.679409272,0.68959834,0.711936791,0.73401682,0.752393398,0.764432028,0.763743571
50,0.685607369,0.694976982,0.71604709,0.737293821,0.755057184,0.766619518,0.765626759
60,0.691564007,0.700207326,0.720087753,0.740504192,0.757650285,0.768735558,0.767442944
70,0.697284749,0.705279545,0.724044229,0.74364046,0.76016973,0.770779169,0.769191789
80,0.70277595,0.710188216,0.727906295,0.746697355,0.762613377,0.772750319,0.770873481
90,0.70804423,0.714930718,0.731666697,0.749670849,0.764980074,0.774649139,0.772488444
100,0.713096574,0.719506377,0.735320368,0.752558385,0.767268865,0.776475921,0.774037363
110,0.717939695,0.72391596,0.738863868,0.755357962,0.769479612,0.778231288,0.775521067
120,0.722580656,0.728161182,0.742295121,0.758068401,0.771612194,0.779916179,0.776940662
130,0.727026099,0.732244528,0.745612933,0.760689129,0.773667171,0.78153149,0.778297079
140,0.731282848,0.73616895,0.748817058,0.763220062,0.775645067,0.783078279,0.779591589
150,0.735357497,0.739937903,0.751907778,0.76566145,0.777546656,0.784557801,0.780825135
160,0.739256459,0.743555018,0.754885967,0.768013785,0.77937296,0.785971234,0.781999204
170,0.742986096,0.747024144,0.757752711,0.770278142,0.781125107,0.787320126,0.783115202
180,0.746552516,0.750349354,0.760509777,0.772455496,0.782804353,0.788605638,0.784174211
190,0.749961583,0.753534773,0.763158847,0.774547153,0.784411993,0.789829232,0.785177754
200,0.75321919,0.756584438,0.765702107,0.776554615,0.785949477,0.790992433,0.786127155
210,0.756330975,0.759502705,0.768141701,0.77847936,0.78741829,0.79209674,0.787023817
220,0.75930234,0.762293618,0.770480031,0.780323159,0.788819959,0.793143495,0.787869111
230,0.762138569,0.764961294,0.772719446,0.782087698,0.790155972,0.79413439,0.788664541
240,0.764844845,0.767509956,0.774862571,0.783774846,0.79142793,0.795070707,0.789411291
250,0.767425983,0.769943542,0.776911897,0.78538641,0.792637613,0.79595416,0.790110928
260,0.769886901,0.772265923,0.778870129,0.786924449,0.793786558,0.796786038,0.790764679
270,0.772232138,0.774481149,0.780739839,0.788390817,0.794876323,0.797567984,0.791373892
280,0.774466077,0.776592913,0.782523664,0.78978744,0.795908734,0.798301427,0.791940072
290,0.776593216,0.778604873,0.784224248,0.791116217,0.796885225,0.79898772,0.79246437
300,0.778617548,0.780520722,0.785844126,0.792379175,0.797807588,0.799628376,0.792948174
310,0.780543095,0.782343976,0.787385845,0.793578259,0.798677253,0.800224818,0.793392678
320,0.78237377,0.784077944,0.788852012,0.794715299,0.799495922,0.800778382,0.793799159
330,0.784113184,0.785725884,0.79024505,0.795792339,0.800265072,0.801290388,0.794168884
340,0.785764963,0.787291212,0.79156749,0.796811116,0.800986331,0.801762347,0.794503028
350,0.787332599,0.788776886,0.792821647,0.797773649,0.801661176,0.802195363,0.794802699
360,0.788819321,0.790185881,0.794009885,0.798681578,0.802291047,0.802590843,0.795069127
370,0.790228309,0.791521117,0.795134395,0.799536751,0.802877447,0.802949941,0.795303351
380,0.791562657,0.792785355,0.796197536,0.800340923,0.803421822,0.80327387,0.795506475
390,0.792825343,0.79398141,0.797201418,0.801095729,0.803925587,0.803563882,0.795679614
400,0.794019149,0.795111872,0.798148141,0.801802881,0.804389976,0.80382107,0.795823772
410,0.795146789,0.79617915,0.799039747,0.802464048,0.80481638,0.804046569,0.795939903
420,0.79621086,0.797185709,0.79987824,0.803080728,0.805206091,0.80424154,0.796029017
430,0.797213884,0.798133889,0.800665512,0.803654482,0.805560326,0.804406995,0.796092085
440,0.798158267,0.799025914,0.801403414,0.804186874,0.805880399,0.804543935,0.796129986
450,0.799046366,0.799864024,0.802093715,0.804679231,0.806167391,0.804653392,0.796143609
460,0.799880367,0.80065024,0.802738248,0.80513305,0.806422529,0.804736316,0.796133823
470,0.800662399,0.801386562,0.803338698,0.805549619,0.806646877,0.804793677,0.796101472
480,0.801394494,0.802074926,0.803896646,0.805930285,0.806841556,0.80482635,0.796047363
490,0.80207862,0.802717183,0.804413638,0.80627635,0.807007601,0.804835213,0.795972285
500,0.802716633,0.803315102,0.80489123,0.80658908,0.807146022,0.804821126,0.795876978
